year,mean_C_degC,max_C_degC,min_C_degC
100,-39.8490789473681,-8.986609221310573,-70.71154867342568
200,-39.84907894736773,-8.986609221309834,-70.71154867342807
300,-39.849078947369804,-8.986609221311426,-70.71154867342793
400,-39.849078947367644,-8.986609221307674,-70.7115486734292
500,-39.84907894736705,-8.986609221310516,-70.7115486734217
600,-39.8490789473706,-8.986609221313074,-70.7115486734329
700,-39.849078947365825,-8.986609221309948,-70.71154867342125
800,-39.84907894737918,-8.986609221315632,-70.71154867344279
900,-39.84907894735855,-8.98660922129443,-70.71154867342722
1000,-39.8490789473658,-8.986609221309664,-70.71154867342153
1100,-39.84907894737387,-8.986609221318304,-70.71154867342682
1200,-39.84907894736304,-8.986609221309834,-70.71154867342034
1300,-39.84907894736887,-8.986609221316485,-70.71154867341863
1400,-39.8490789473623,-8.986609221295737,-70.71154867341383
1500,-39.84907894737452,-8.986609221314723,-70.71154867343205
1600,-39.849078947362955,-8.986609221310687,-70.71154867342514
1700,-39.849078947364205,-8.986609221296646,-70.71154867341784
1800,-39.84907894737856,-8.98660922131694,-70.71154867344009
1900,-39.849078947362955,-8.986609221310403,-70.71154867342543
2000,-39.849078947364205,-8.986609221296362,-70.7115486734181
2100,-39.849078947362415,-8.986609221293065,-70.71154867341693
2200,-39.84907894736196,-8.986609221292497,-70.71154867344615
2300,-39.849078947362926,-8.986609221306196,-70.71154867342409
2400,-39.849078947362415,-8.986609221292724,-70.71154867341721
2500,-39.84907894736196,-8.98660922129227,-70.71154867344643
2600,-39.84907894736705,-8.98660922130847,-70.71154867343225
2700,-39.849078947380264,-8.986609221315973,-70.71154867345157
2800,-39.84907894739112,-8.98660922133513,-70.71154867343398
2900,-39.84907894737964,-8.98660922128937,-70.71154867343822
3000,-39.84907894736955,-8.98660922129352,-70.71154867344521
3100,-39.849078947359004,-8.986609221304207,-70.71154867342287
3200,-39.84907894736929,-8.986609221314836,-70.7115486734507
3300,-39.849078947380264,-8.986609221315462,-70.71154867345211
3400,-39.849078947390836,-8.98660922133439,-70.71154867343404
3500,-39.8490789473793,-8.986609221288575,-70.71154867343805
3600,-39.84907894736921,-8.986609221292781,-70.71154867344498
3700,-39.84907894735906,-8.986609221303695,-70.71154867342338
3800,-39.84907894736929,-8.986609221314325,-70.71154867345123
3900,-39.84907894737765,-8.986609221313415,-70.71154867344771
4000,-39.8490789473872,-8.986609221331662,-70.71154867342767
4100,-39.849078947359004,-8.986609221298806,-70.71154867339177
4200,-39.849078947362926,-8.986609221322453,-70.71154867338868
4300,-39.84907894737853,-8.986609221336494,-70.71154867342662
4400,-39.849078947378274,-8.986609221346498,-70.71154867345257
4500,-39.84907894735963,-8.986609221336664,-70.71154867341528
4600,-39.849078947357015,-8.98660922128613,-70.71154867341014
4700,-39.84907894734866,-8.986609221282492,-70.71154867339257
4800,-39.84907894736287,-8.986609221321942,-70.71154867338925
4900,-39.8490789473785,-8.986609221335925,-70.71154867342713
5000,-39.84907894737822,-8.98660922134593,-70.71154867345311
5100,-39.849078947359345,-8.986609221335982,-70.71154867341531
5200,-39.84907894735821,-8.986609221286301,-70.71154867341295
5300,-39.84907894734704,-8.986609221293293,-70.71154867349995
5400,-39.84907894734707,-8.986609221294827,-70.71154867349858
5500,-39.84907894739237,-8.986609221339222,-70.71154867349537
5600,-39.84907894736594,-8.986609221324613,-70.71154867344327
5700,-39.849078947426165,-8.986609221403626,-70.71154867344316
5800,-39.8490789474032,-8.986609221391177,-70.71154867339777
5900,-39.84907894740442,-8.986609221393167,-70.71154867339874
6000,-39.84907894739527,-8.98660922138913,-70.71154867337978
6100,-39.8490789473241,-8.986609221231106,-70.71154867333286
6200,-39.84907894733121,-8.986609221236904,-70.71154867334499
6300,-39.84907894729983,-8.986609221236904,-70.71154867333871
6400,-39.84907894731256,-8.98660922124617,-70.71154867336179
6500,-39.8490789473675,-8.98660922129227,-70.71154867350103
6600,-39.84907894734707,-8.986609221293804,-70.71154867349964
6700,-39.849078947392314,-8.986609221338199,-70.71154867349645
6800,-39.849078947365996,-8.98660922132359,-70.7115486734443
6900,-39.849078947426136,-8.986609221402603,-70.71154867344427
7000,-39.849078947403314,-8.986609221390154,-70.711548673399
7100,-39.849078947404365,-8.986609221392087,-70.71154867339982
7200,-39.8490789473955,-8.986609221388164,-70.71154867338129
7300,-39.8490789473241,-8.986609221230026,-70.71154867333394
7400,-39.84907894733138,-8.986609221235938,-70.71154867334636
7500,-39.84907894730054,-8.986609221236279,-70.7115486733413
7600,-39.84907894731256,-8.98660922124509,-70.71154867336287
7700,-39.84907894736975,-8.98660922129261,-70.71154867350646
7800,-39.84907894734695,-8.986609221292667,-70.71154867350054
7900,-39.84907894739399,-8.986609221338142,-70.71154867350072
8000,-39.849078947373755,-8.986609221327285,-70.7115486734603
8100,-39.84907894742608,-8.986609221401523,-70.7115486734453
8200,-39.8490789474007,-8.986609221319384,-70.71154867348477
8300,-39.849078947343145,-8.986609221249978,-70.7115486734088
8400,-39.849078947364205,-8.986609221283118,-70.71154867340732
8500,-39.84907894736284,-8.986609221283743,-70.71154867340312
8600,-39.849078947378075,-8.986609221294543,-70.71154867343083
8700,-39.84907894737091,-8.986609221304093,-70.71154867345487
8800,-39.84907894731319,-8.986609221207516,-70.71154867345365
8900,-39.84907894731339,-8.986609221209108,-70.71154867345243
9000,-39.84907894729926,-8.986609221202059,-70.71154867342395
9100,-39.84907894738902,-8.986609221295566,-70.71154867343242
9200,-39.84907894742153,-8.98660922132808,-70.71154867352877
9300,-39.849078947423095,-8.986609221330525,-70.71154867353022
9400,-39.84907894742443,-8.986609221332799,-70.71154867353127
9500,-39.84907894734329,-8.986609221249239,-70.71154867340985
9600,-39.84907894736429,-8.986609221282094,-70.71154867340843
9700,-39.84907894736284,-8.98660922128272,-70.7115486734042
9800,-39.849078947378075,-8.986609221293406,-70.7115486734319
9900,-39.84907894739135,-8.986609221303013,-70.71154867345592
10000,-39.84907894731313,-8.986609221206436,-70.71154867345459
10100,-39.8490789473135,-8.986609221208141,-70.71154867345379
10200,-39.84907894729932,-8.986609221200979,-70.711548673425
10300,-39.84907894738896,-8.986609221294486,-70.7115486734335
10400,-39.84907894742162,-8.986609221327058,-70.71154867352999
