year;mean_C_degC;max_C_degC;min_C_degC
100;-7.390183754230009;-5.187830708774072;-9.592538834019535
200;-7.3901839115792995;-5.188012301437141;-9.592357765543
300;-7.390184027651685;-5.188281351110163;-9.592089156951317
400;-7.390184146439935;-5.188639315739238;-9.591731640291812
500;-7.3901842678569665;-5.189087534342605;-9.59128387616056
600;-7.390184391809669;-5.18962726732417;-9.590744603753194
700;-7.390184518200613;-5.190259693951361;-9.590112643387215
800;-7.3901846469349834;-5.190985909903986;-9.589386898970645
900;-7.390184777899776;-5.1918069248648635;-9.588566360369441
1000;-7.390184910991479;-5.192723660235686;-9.58765010574109
1100;-7.390185046099361;-5.193736946880335;-9.58663730376918
1200;-7.390185183103256;-5.194847522970576;-9.585527215806223
1300;-7.390185321885838;-5.196056031925934;-9.584319197955551
1400;-7.390185462323245;-5.197363020418663;-9.583012703057591
1500;-7.390185604289172;-5.19876893648842;-9.581607282576783
1600;-7.390185747652254;-5.200274127730495;-9.58010258840909
1700;-7.390185892278112;-5.201878839599544;-9.578498374579056
1800;-7.390186038034756;-5.203583213812635;-9.576794498862398
1900;-7.390186184774677;-5.2053872868182225;-9.574990924263432
2000;-7.390186332360315;-5.207290988429008;-9.573087720439332
2100;-7.3901864806450135;-5.209294140513521;-9.571085064980707
2200;-7.390186629483367;-5.211396455817692;-9.568983244599224
2300;-7.390186778721329;-5.213597536888017;-9.566782656182625
2400;-7.3901869282090615;-5.215896875124372;-9.564483807782153
2500;-7.390187077790131;-5.218293849936231;-9.562087319427064
2600;-7.390187227306512;-5.220787728017683;-9.559593923850116
2700;-7.390187376601375;-5.223377662748931;-9.55700446711046
2800;-7.390187525514136;-5.226062693716244;-9.554319909051117
2900;-7.390187673877392;-5.228841746341743;-9.551541323670676
3000;-7.390187821527832;-5.231713631677962;-9.548669899346919
3100;-7.390187968303394;-5.2346770462784775;-9.545706938954595
3200;-7.390188114043042;-5.237730572229111;-9.542653859847348
3300;-7.3901882585778935;-5.240872677290383;-9.539512193687301
3400;-7.390188401734349;-5.244101715175475;-9.536283586182435
3500;-7.39018854334455;-5.247415925964617;-9.532969796687155
3600;-7.390188683243252;-5.2508134366558465;-9.529572697648348
3700;-7.390188821264076;-5.254292261812168;-9.526094273942192
3800;-7.390188957237626;-5.2578503043727665;-9.522536622073176
3900;-7.390189090991669;-5.261485356587173;-9.518901949231179
4000;-7.390189222358629;-5.265195101086306;-9.515192572243336
4100;-7.390189351171102;-5.268977112070388;-9.511410916373109
4200;-7.390189477269928;-5.272828856656815;-9.507559513984063
