year,mean_C_degC,max_C_degC,min_C_degC
100,-37.27788941071995,-5.040950114438829,-69.51483001226364
200,-37.277889785552446,-5.0488869877298725,-69.50689549119338
300,-37.27789014622985,-5.057291270121937,-69.49849353053654
400,-37.277890492475905,-5.066156690016328,-69.48963040015519
500,-37.277890824038394,-5.075476631717208,-69.48031271403866
600,-37.277891140672494,-5.085244140327518,-69.47054742542227
700,-37.27789144212886,-5.09545192696055,-69.46034182148713
800,-37.27789172821031,-5.106092374198624,-69.44970351809562
900,-37.27789199864887,-5.117157541703989,-69.43864045387494
1000,-37.277892253307186,-5.128639172299927,-69.42716088454762
1100,-37.27789249196732,-5.1405286979187395,-69.41527337659949
1200,-37.27789271443018,-5.152817246139648,-69.40298680091038
1300,-37.277892920566956,-5.165495646821,-69.39031032620133
1400,-37.277893110193844,-5.178554438821436,-69.37725341212436
1500,-37.277893283201365,-5.191983877249754,-69.36382580226538
1600,-37.277893439416545,-5.205773940491042,-69.35003751675978
1700,-37.277893578760626,-5.219914337897023,-69.3358988449688
1800,-37.27789370113001,-5.234394517419048,-69.32142033773061
1900,-37.27789380638845,-5.249203673340901,-69.30661279938039
2000,-37.27789389450609,-5.264330754535422,-69.29148727990429
2100,-37.2778939653966,-5.279764472626766,-69.2760550665306
2200,-37.277894019011825,-5.295493310388224,-69.26032767538038
2300,-37.27789405531141,-5.311505530382988,-69.24431684273742
2400,-37.27789407426553,-5.3277891836496565,-69.22803451655437
2500,-37.27789407586184,-5.344332118757734,-69.21149284733511
2600,-37.277894060104245,-5.361121990752565,-69.19470417900988
2700,-37.27789402700739,-5.378146270375453,-69.17768103999279
2800,-37.27789397658546,-5.395392253494208,-69.16043613351414
2900,-37.277893908855134,-5.412847070428313,-69.14298232843132
3000,-37.27789382389153,-5.430497695859401,-69.1253326494078
3100,-37.27789372175633,-5.448330958184499,-69.10750026726117
3200,-37.27789360254732,-5.466333549546846,-69.08949848926719
3300,-37.27789346633287,-5.4844920357293745,-69.07134074894603
3400,-37.27789331321378,-5.502792866217192,-69.05304059629393
3500,-37.27789314328197,-5.521222384160694,-69.0346116876118
3600,-37.27789295668774,-5.539766836878869,-69.01606777522176
