year,mean_C_degC,max_C_degC,min_C_degC
100,-37.2779037544141,55.89727284093175,-130.45291388213707
200,-37.27790271677529,55.87646633516772,-130.43210046085724
300,-37.27790165533224,55.85428462276394,-130.4099119131592
400,-37.277900570866564,55.83074425654604,-130.38636479696868
500,-37.27789946420262,55.805862803216826,-130.36147668402697
600,-37.277898336157165,55.7796588302495,-130.3352661467754
700,-37.277897187573586,55.752151892030724,-130.30775274450005
800,-37.27789601931252,55.723362515269,-130.278957008732
900,-37.27789483220931,55.6933121836758,-130.24890042792944
1000,-37.27789362722896,55.66202332193535,-130.2176054314389
1100,-37.277892405206416,55.62951927896779,-130.18509537275898
1200,-37.27789116705313,55.59582431050876,-130.15139451211613
1300,-37.27788991374243,55.560963561005735,-130.11652799835275
1400,-37.27788864615388,55.52496304485578,-130.08052185016788
1500,-37.277887365278644,55.48784962699949,-130.04340293670046
1600,-37.27788607201896,55.44965100285145,-130.00519895747684
1700,-37.27788476740261,55.41039567766012,-129.9659384217343
1800,-37.2778834523763,55.37011294522188,-129.9256506271558
1900,-37.277882127885164,55.32883286601839,-129.8843656380047
2000,-37.277880794980575,55.28658624479323,-129.84211426268874
2100,-37.27787945461827,55.24340460755997,-129.7989280307646
2200,-37.27787810779941,55.19932017807139,-129.75483916941843
2300,-37.27787675555453,55.15436585378262,-129.70988057941247
2400,-37.27787539886626,55.108575181296544,-129.66408581052826
2500,-37.277874038747655,55.06198233132602,-129.6174890365402
2600,-37.27787267623978,55.014622073203384,-129.57012502970892
2700,-37.277871312344786,54.96652974893294,-129.5220291348296
2800,-37.27786994808989,54.91774124679637,-129.47323724286016
2900,-37.277868584431985,54.868292974617134,-129.4237857641435
3000,-37.27786722244767,54.81822183253581,-129.37371160121643
3100,-37.277865863147355,54.76756518552844,-129.32305212130927
3200,-37.27786450757495,54.716360835473495,-129.271845128411
3300,-37.27786315668422,54.66464699298251,-129.22012883511238
3400,-37.27786181153138,54.61246224885258,-129.16794183403945
3500,-37.27786047304778,54.55984554530926,-129.11532306909487
3600,-37.277859142290936,54.50683614689467,-129.06231180636254
3700,-37.27785782024634,54.45347361122259,-129.0089476048475
3800,-37.27785650793314,54.39979775940651,-128.95527028690262
3900,-37.27785520627063,54.34584864638549,-128.90131990856847
4000,-37.277853916279014,54.29166653099867,-128.84713672962857
4100,-37.27785263883803,54.23729184598574,-128.79276118360858
4200,-37.27785137499009,54.18276516775978,-128.738233847568
4300,-37.27785012567594,54.12812718618608,-128.68359541186297
4400,-37.27784889175197,54.07341867417068,-128.6288866497346
4500,-37.277847674210335,54.01868045724058,-128.57414838690414
4600,-37.27784647392582,53.96395338312311,-128.5194214711331
4700,-37.27784529181508,53.90927829119727,-128.46474674167484
4800,-37.27784412875812,53.85469598208027,-128.41016499887976
4900,-37.27784298562892,53.800247187122125,-128.3557169736754
5000,-37.27784186321867,53.74597253807252,-128.30144329723313
5100,-37.27784076243549,53.691912536686516,-128.24738447058985
5200,-37.2778396840672,53.638107524581244,-128.19358083448603
5300,-37.277838628884496,53.584597653066055,-128.1400725391929
5400,-37.277837597773555,53.53142285320524,-128.08689951460974
5500,-37.27783659150501,53.47862280603448,-128.03410144045105
5600,-37.27783561071831,53.42623691292766,-127.98171771660373
5700,-37.27783465627547,53.37430426621529,-127.92978743378677
5800,-37.27783372874026,53.32286361995682,-127.87834934429577
5900,-37.27783282887842,53.27195336111129,-127.82744183317465
6000,-37.27783195736319,53.22161148080761,-127.77710288951602
6100,-37.27783111476708,53.1718755460638,-127.72737007813939
6200,-37.27783030187189,53.12278267167176,-127.67828051150587
6300,-37.2778295191531,53.07436949258755,-127.62987082210307
6400,-37.27782876730441,53.02667213655229,-127.58217713506815
6500,-37.277828046880586,52.979726197095204,-127.53523504119227
6600,-37.27782735827506,52.93356670704844,-127.48907957043792
6700,-37.27782670219901,52.88822811235349,-127.44374516574706
6800,-37.27782607898624,52.84374424638037,-127.3992656573694
6900,-37.277825489229286,52.80014830463335,-127.35567423754489
7000,-37.277824933221126,52.757472820050054,-127.31300343584286
7100,-37.27782441145004,52.715749638681984,-127.27128509481469
7200,-37.27782392430632,52.67500989592986,-127.23055034626057
7300,-37.27782347207798,52.635283993300675,-127.19082958795488
7400,-37.2778230552523,52.596601575762804,-127.15215246102693
7500,-37.27782267401162,52.558991509585724,-127.11454782779836
7600,-37.277822328748556,52.52248186082005,-127.07804375026532
7700,-37.277822019714534,52.48709987431437,-127.04266746911904
7800,-37.27782174699712,52.45287195344292,-127.00844538347621
7900,-37.2778215109972,52.41982364036295,-126.97540303113965
8000,-37.27782131173254,52.38797959697263,-126.94356506956353
8100,-37.27782114948218,52.35736358647347,-126.91295525740227
8200,-37.27782102419238,52.3279984556886,-126.88359643685791
8300,-37.27782093605629,52.29990611799013,-126.85551051658999
8400,-37.277820885196206,52.27310753691057,-126.82871845534973
8500,-37.277820871565524,52.24762271056704,-126.803240246385
8600,-37.27782089520437,52.22347065669203,-126.77909490249013
8700,-37.27782095607458,52.20066939845924,-126.75630044183151
8800,-37.277821054068255,52.179235951009844,-126.73487387447781
8900,-37.27782118929565,52.159186308791845,-126.7148311897428
9000,-37.27782136155426,52.14053543359955,-126.69618734422897
9100,-37.27782157081663,52.12329724341953,-126.67895625067695
9200,-37.277821816744904,52.107484602026204,-126.66315076756743
9300,-37.27782209921642,52.09310930940978,-126.64878268954462
9400,-37.27782241803959,52.0801820929525,-126.63586273860906
9500,-37.277822772950344,52.068712599430455,-126.62440055611523
9600,-37.27782316376485,52.05870938780481,-126.61440469556715
9700,-37.27782359011039,52.050179922847406,-126.60588261625384
9800,-37.277824051696825,52.043130569567836,-126.59884067767021
9900,-37.277824548203654,52.03756658845401,-126.59328413477601
10000,-37.27782507906133,52.033492131559115,-126.58921713406895
10100,-37.277825644195445,52.030910239395666,-126.5866427104989
10200,-37.27782624303663,52.029822838668395,-126.5855627851974
10300,-37.2778268752393,52.03023074083592,-126.58597816404452
10400,-37.27782754014788,52.03213364150673,-126.5878885370692
10500,-37.27782823721074,52.03553012066527,-126.59129247867997
10600,-37.27782896616216,52.040417643729086,-126.59618744872716
10700,-37.277829726343185,52.04679256345207,-126.60256979440285
10800,-37.27783051718566,52.05465012261999,-126.61043475295827
10900,-37.27783133819142,52.063984457635115,-126.6197764552652
11000,-37.27783218846983,52.07478860286773,-126.6305879302034
11100,-37.277833067957346,52.08705449585426,-126.6428611098373
11200,-37.27783397496822,52.10077298332425,-126.65658683545874
11300,-37.27783491016919,52.115933828044376,-126.67175486443304
11400,-37.27783587146257,52.13252571639953,-126.68835387778392
11500,-37.27783685953216,52.15053626692247,-126.70637148873249
11600,-37.27783787223697,52.16995203945186,-126.72579425183298
11700,-37.277838910226365,52.19075854520901,-126.7466076731117
11800,-37.27783997137405,52.212940257623416,-126.76879622081435
11900,-37.27784105583635,52.236480623833984,-126.79234333700376
12000,-37.27784216250177,52.26136207716178,-126.81723144993771
12100,-37.27784329055069,52.28756605013433,-126.84344198720183
12200,-37.27784443943162,52.31507298835169,-126.87095538946846
12300,-37.27784560734813,52.34386236510397,-126.89975112522643
12400,-37.277846794775655,52.37391269671173,-126.92980770604345
12500,-37.277847999425404,52.40520155844263,-126.96110270252379
12600,-37.27784922180342,52.43770560141695,-126.99361276121897
12700,-37.27785045958805,52.47140056987456,-127.02731362185219
12800,-37.27785171326775,52.50626131936565,-127.06218013561397
12900,-37.27785298055008,52.542261835531235,-127.09818628380518
13000,-37.27785426153119,52.579375253378714,-127.13530519727036
13100,-37.277855554673664,52.617573877524364,-127.17350917648344
13200,-37.27785685930155,52.656829202723145,-127.21276971224583
13300,-37.27785817433744,52.697111935160365,-127.25305750681076
13400,-37.27785949881013,52.738392014371925,-127.29434249598143
13500,-37.27786083201909,52.78063863559464,-127.33659387128472
13600,-37.27786217202893,52.82382027281477,-127.37978010319415
13700,-37.27786351919178,52.867904702324154,-127.42386896456105
13800,-37.27786487109313,52.91285902659786,-127.4688275545534
13900,-37.27786622813667,52.95864969906978,-127.51462232343465
14000,-37.27786758789088,53.00524254906219,-127.56121909743169
14100,-37.27786895076372,53.05260280716885,-127.60858310426175
14200,-37.27787031436824,53.10069513144106,-127.6566789991262
14300,-37.2778716786506,53.14948363358371,-127.70547089111875
14400,-37.2778730422809,53.19893190576329,-127.754922369822
14500,-37.27787440425416,53.24900304785098,-127.80499653276937
14600,-37.27787576384151,53.29965969485869,-127.85565601266285
14700,-37.277877119083854,53.350864044896355,-127.90686300554026
14800,-37.277878470331274,53.40257788741519,-127.95857929886668
14900,-37.27787981515144,53.454762631524034,-128.01076629992207
15000,-37.27788115391283,53.50737933505292,-128.06338506486688
15100,-37.27788248435388,53.560388733488935,-128.11639632760594
15200,-37.277883806746075,53.61375126914646,-128.16976052912125
15300,-37.277885118725095,53.66742712098801,-128.22343784707297
15400,-37.277886420650276,53.72137623399442,-128.2773882254075
15500,-37.27788771045735,53.77555834937425,-128.33157140432914
15600,-37.2778889878673,53.82993303440139,-128.38594695037838
15700,-37.27789025170782,53.88445971262047,-128.4404742863969
15800,-37.27789150104945,53.939097694179225,-128.49511272210225
15900,-37.27789273524874,53.99380620622787,-128.5498214842449
16000,-37.27789395243363,54.04854442313575,-128.60455974705312
16100,-37.27789515306492,54.10327149725356,-128.6592866628283
16200,-37.27789633481905,54.157946589186395,-128.71396139229356
16300,-37.277897498246034,54.212528898288554,-128.76854313508892
16400,-37.277898641038064,54.26697769326876,-128.8229911603002
16500,-37.277899763745154,54.321252342307275,-128.8772648367428
