year,mean_C_degC,max_C_degC,min_C_degC
100,-39.84912564868486,49.352805201936576,-129.0509662369603
200,-39.84912539612026,49.35258016353822,-129.05073259705105
300,-39.849125089453,49.35061860736971,-129.04876227757205
400,-39.849124728124025,49.34688887842469,-129.045023630648
500,-39.84912431165435,49.34136077569826,-129.03948646268424
600,-39.84912383959875,49.33400560700085,-129.0321220891694
700,-39.84912331158023,49.32479624260742,-129.0229033883245
800,-39.84912272728283,49.313707167675375,-129.0118048535097
900,-39.84912208641222,49.30071453335273,-128.99880264433042
1000,-39.84912138884613,49.285796206508905,-128.9838746363563
1100,-39.84912063438685,49.26893181801063,-128.9670004693931
1200,-39.84911982296043,49.25010280948209,-128.9481615942357
1300,-39.84911895460468,49.229292478469176,-128.92734131781785
1400,-39.849118029320806,49.206486021950354,-128.90452484672232
1500,-39.84911704727156,49.18167057813099,-128.8796993289575
1600,-39.849116008591295,49.15483526641805,-128.85285389394593
1700,-39.84911491359085,49.1259712255993,-128.8239796906565
1800,-39.849113762562524,49.09507165006448,-128.79306992384286
1900,-39.84911255585587,49.06213182407015,-128.76011988829842
2000,-39.84911129398313,49.027149153989,-128.72512700108408
2100,-39.849109977425854,48.99012319846156,-128.68809083166875
2200,-39.84910860677141,48.9510556964114,-128.64901312994928
2300,-39.84910718269808,48.90995059288804,-128.6078978520672
2400,-39.849105705901565,48.866814062658875,-128.5647511839883
2500,-39.84910417717148,48.8216545315164,-128.51958156281552
2600,-39.84910259738851,48.774482695275594,-128.47239969575787
2700,-39.84910096746128,48.725311536389086,-128.42321857673048
2800,-39.84909928838832,48.67415633812715,-128.37205350055422
2900,-39.84909756116613,48.621034696396634,-128.3189220747117
3000,-39.849095786972356,48.56596652895138,-128.2638442285894
3100,-39.84909396698774,48.5089740822292,-128.20684222028126
3200,-39.84909210249057,48.450081935514675,-128.14794064073766
3300,-39.84909019473977,48.38931700264834,-128.0871664154811
3400,-39.84908824515858,48.32670853104986,-128.02454880359275
3500,-39.84908625511608,48.26228809822578,-127.96011939420646
